run_id,mode,seed,dataset,alpha,distribution,random_cost,num_users,concurrency,buffer_size,k0,sketch_dim,recluster_interval,local_lr,global_lr,bn_strategy,delay_mapping,weight_source,oracle_flag,rounds,accuracy_lines,final_accuracy,first_nonfinite_test_loss_round,last_nonfinite_test_loss_round,nonfinite_test_loss_round_count,nonfinite_test_loss_ranges,nan_in_tail10,nan_in_tail50,train_loss_observed,eval_input_health,eval_logit_health,parameter_health,bn_buffer_health,traceback_or_oom,accuracy_evidence
e2_repaired_online_cifar100_seed1,online,1,cifar100,0.5,noniid,mild_label_correlated_hierarchical,100,40,10,7,2048,5,0.01,1.0,"standard BatchNorm2d; state-dict exports running_mean/running_var, excludes num_batches_tracked",seed-controlled client delay groups; exact mapping not separately logged,unique_client,false,500,500,47.86,2,37,19,2-11;20-25;35-37,no,no,unknown: stdout has evaluation only,unknown: no per-batch diagnostics in historical run,unknown: no per-batch diagnostics in historical run,unknown: no checkpoint/state snapshot,unknown: no checkpoint/state snapshot,no,accuracy file complete; accuracy values finite in external audit
e2_repaired_online_cifar100_seed2,online,2,cifar100,0.5,noniid,mild_label_correlated_hierarchical,100,40,10,7,2048,5,0.01,1.0,"standard BatchNorm2d; state-dict exports running_mean/running_var, excludes num_batches_tracked",seed-controlled client delay groups; exact mapping not separately logged,unique_client,false,500,500,47.47,2,37,19,2-10;19-24;34-37,no,no,unknown: stdout has evaluation only,unknown: no per-batch diagnostics in historical run,unknown: no per-batch diagnostics in historical run,unknown: no checkpoint/state snapshot,unknown: no checkpoint/state snapshot,no,accuracy file complete; accuracy values finite in external audit
e2_repaired_online_cifar100_seed3,online,3,cifar100,0.5,noniid,mild_label_correlated_hierarchical,100,40,10,7,2048,5,0.01,1.0,"standard BatchNorm2d; state-dict exports running_mean/running_var, excludes num_batches_tracked",seed-controlled client delay groups; exact mapping not separately logged,unique_client,false,500,500,48.08,2,24,16,2-10;18-24,no,no,unknown: stdout has evaluation only,unknown: no per-batch diagnostics in historical run,unknown: no per-batch diagnostics in historical run,unknown: no checkpoint/state snapshot,unknown: no checkpoint/state snapshot,no,accuracy file complete; accuracy values finite in external audit
e2_repaired_online_cifar100_seed4,online,4,cifar100,0.5,noniid,mild_label_correlated_hierarchical,100,40,10,7,2048,5,0.01,1.0,"standard BatchNorm2d; state-dict exports running_mean/running_var, excludes num_batches_tracked",seed-controlled client delay groups; exact mapping not separately logged,unique_client,false,500,500,48.36,2,52,27,2-11;19-24;34-39;48-52,no,no,unknown: stdout has evaluation only,unknown: no per-batch diagnostics in historical run,unknown: no per-batch diagnostics in historical run,unknown: no checkpoint/state snapshot,unknown: no checkpoint/state snapshot,no,accuracy file complete; accuracy values finite in external audit
e2_repaired_online_cifar100_seed5,online,5,cifar100,0.5,noniid,mild_label_correlated_hierarchical,100,40,10,7,2048,5,0.01,1.0,"standard BatchNorm2d; state-dict exports running_mean/running_var, excludes num_batches_tracked",seed-controlled client delay groups; exact mapping not separately logged,unique_client,false,500,500,47.87,2,38,21,2-11;20-25;34-38,no,no,unknown: stdout has evaluation only,unknown: no per-batch diagnostics in historical run,unknown: no per-batch diagnostics in historical run,unknown: no checkpoint/state snapshot,unknown: no checkpoint/state snapshot,no,accuracy file complete; accuracy values finite in external audit
e2_repaired_fullwarm_cifar100_seed1,fullwarm,1,cifar100,0.5,noniid,mild_label_correlated_hierarchical,100,40,10,7,2048,5,0.01,1.0,"standard BatchNorm2d; state-dict exports running_mean/running_var, excludes num_batches_tracked",seed-controlled client delay groups; exact mapping not separately logged,full_count,false,500,500,49.24,3,48,23,3-9;17-23;31-34;44-48,no,no,unknown: stdout has evaluation only,unknown: no per-batch diagnostics in historical run,unknown: no per-batch diagnostics in historical run,unknown: no checkpoint/state snapshot,unknown: no checkpoint/state snapshot,no,accuracy file complete; accuracy values finite in external audit
e2_repaired_fullwarm_cifar100_seed2,fullwarm,2,cifar100,0.5,noniid,mild_label_correlated_hierarchical,100,40,10,7,2048,5,0.01,1.0,"standard BatchNorm2d; state-dict exports running_mean/running_var, excludes num_batches_tracked",seed-controlled client delay groups; exact mapping not separately logged,full_count,false,500,500,45.95,2,34,21,2-9;15-22;30-34,no,no,unknown: stdout has evaluation only,unknown: no per-batch diagnostics in historical run,unknown: no per-batch diagnostics in historical run,unknown: no checkpoint/state snapshot,unknown: no checkpoint/state snapshot,no,accuracy file complete; accuracy values finite in external audit
e2_repaired_fullwarm_cifar100_seed3,fullwarm,3,cifar100,0.5,noniid,mild_label_correlated_hierarchical,100,40,10,7,2048,5,0.01,1.0,"standard BatchNorm2d; state-dict exports running_mean/running_var, excludes num_batches_tracked",seed-controlled client delay groups; exact mapping not separately logged,full_count,false,500,500,48.85,2,24,17,2-11;18-24,no,no,unknown: stdout has evaluation only,unknown: no per-batch diagnostics in historical run,unknown: no per-batch diagnostics in historical run,unknown: no checkpoint/state snapshot,unknown: no checkpoint/state snapshot,no,accuracy file complete; accuracy values finite in external audit
e2_repaired_fullwarm_cifar100_seed4,fullwarm,4,cifar100,0.5,noniid,mild_label_correlated_hierarchical,100,40,10,7,2048,5,0.01,1.0,"standard BatchNorm2d; state-dict exports running_mean/running_var, excludes num_batches_tracked",seed-controlled client delay groups; exact mapping not separately logged,full_count,false,500,500,46.92,2,34,21,2-11;16-22;31-34,no,no,unknown: stdout has evaluation only,unknown: no per-batch diagnostics in historical run,unknown: no per-batch diagnostics in historical run,unknown: no checkpoint/state snapshot,unknown: no checkpoint/state snapshot,no,accuracy file complete; accuracy values finite in external audit
e2_repaired_fullwarm_cifar100_seed5,fullwarm,5,cifar100,0.5,noniid,mild_label_correlated_hierarchical,100,40,10,7,2048,5,0.01,1.0,"standard BatchNorm2d; state-dict exports running_mean/running_var, excludes num_batches_tracked",seed-controlled client delay groups; exact mapping not separately logged,full_count,false,500,500,44.39,2,34,21,2-9;15-22;30-34,no,no,unknown: stdout has evaluation only,unknown: no per-batch diagnostics in historical run,unknown: no per-batch diagnostics in historical run,unknown: no checkpoint/state snapshot,unknown: no checkpoint/state snapshot,no,accuracy file complete; accuracy values finite in external audit
